form,office,min_time,max_time
I-102,CSC,3,8
I-102,NBC,3,8
I-102,NSC,3,8
I-102,SSC,3,8
I-102,ESC,1,6.5
I-485,CSC,10.5,48.5
I-485,NSC,10,13
I-485,SSC,15.5,49.5
I-485,ESC,11,18
I-485,AGA,10.5,23
I-485,ALB,10.5,23
I-485,ABQ,6,14.5
I-485,ANC,10.5,23
I-485,ATL,11,19
I-485,BAL,10.5,29.5
I-485,BOI,10.5,23
I-485,BOS,9,23
I-485,BNY,19.5,24.5
I-485,BUF,10.5,21
I-485,CHL,10,32
I-485,CHA,10.5,23
I-485,CLT,8,18.5
I-485,CHI,9,31.5
I-485,CHR,10.5,23
I-485,CIN,10.5,23
I-485,CLE,7,20.5
I-485,CLM,10.5,23
I-485,DAL,15.5,21.5
I-485,DEN,9,31
I-485,DSM,10.5,23
I-485,DET,7.5,16
I-485,ELP,7.5,21.5
I-485,OFM,16,22
I-485,FSA,10.5,23
I-485,FRE,7.5,17.5
I-485,GRR,10.5,23
I-485,HLG,7.5,21.5
I-485,HAR,10.5,19.5
I-485,HEL,10.5,23
I-485,HIA,11.5,24.5
I-485,HHW,10.5,23
I-485,HOU,17,26.5
I-485,IMP,10.5,23
I-485,INP,8,21.5
I-485,JAC,7,18.5
I-485,KAN,7,22.5
I-485,KND,14.5,27.5
I-485,LVG,13.5,19
I-485,LAW,8,21
I-485,LNY,8.5,23.5
I-485,LOS,10.5,19
I-485,LAC,12,20.5
I-485,LOU,10.5,23
I-485,MAN,10.5,23
I-485,MEM,10.5,23
I-485,MIA,19,31.5
I-485,MIL,10.5,34.5
I-485,SPM,14.5,28.5
I-485,MGA,8,24.5
I-485,MTL,7.5,19.5
I-485,NTN,10.5,23
I-485,NEW,10,26
I-485,NOL,9.5,21.5
I-485,NYC,20,30
I-485,NOR,9.5,22.5
I-485,OKL,20,25.5
I-485,OKC,14,20.5
I-485,OMA,10.5,23
I-485,ORL,12,22.5
I-485,PHI,11.5,23
I-485,PHO,19.5,22
I-485,PIT,10.5,23
I-485,POM,10.5,23
I-485,POO,7,16
I-485,PRO,7.5,14.5
I-485,QNS,7,25
I-485,RAL,7.5,21
I-485,REN,14.5,19
I-485,SAC,9,16.5
I-485,STA,10.5,23
I-485,STL,10.5,23
I-485,SLC,16.5,20.5
I-485,SNA,7.5,18
I-485,SBD,7,17.5
I-485,SND,8.5,19.5
I-485,SFV,16.5,23
I-485,SFR,18.5,21.5
I-485,SNJ,9.5,17
I-485,SAJ,10.5,23
I-485,SAA,13.5,26
I-485,SEA,13.5,21.5
I-485,SPO,10.5,23
I-485,TAM,7,20
I-485,TUC,7.5,18.5
I-485,WAS,10,21.5
I-485,WPB,8.5,19.5
I-485,WIC,10.5,23
I-485,YAK,10.5,23
I-526,IPO,29,45.5
I-751,CSC,14,19
I-751,NSC,15,25
I-751,YSC,11.5,14
I-751,SSC,15,19
I-751,ESC,14.5,19
I-751,FOD,23.5,49
I-817,NBC,11,25.5
I-817,SSC,11,25.5
I-824,CSC,8.5,12.5
I-824,NBC,8.5,12.5
I-824,NSC,8.5,12.5
I-824,SSC,8.5,12.5
I-824,ESC,8.5,12.5
I-829,IPO,25.5,40.5
I-90,YSC,5,12.5
I-914,ESC,17.5,34
I-924,IPO,22.5,44
N-400,AGA,10.5,19
N-400,ALB,8,13
N-400,ABQ,5.5,11
N-400,ANC,6,12
N-400,ATL,11.5,24
N-400,BAL,13,23
N-400,BOI,10.5,19
N-400,BOS,5.5,11.5
N-400,BNY,14,21
N-400,BUF,5.5,13
N-400,CHL,10.5,19
N-400,CHA,10.5,19
N-400,CLT,8,11.5
N-400,CHI,8,16
N-400,CHR,10.5,19
N-400,CIN,4.5,15
N-400,CLE,4,9
N-400,CLM,5,9.5
N-400,DAL,13.5,24
N-400,DEN,9.5,20
N-400,DSM,10.5,19.5
N-400,DET,6.5,12.5
N-400,ELP,6,22.5
N-400,OFM,12.5,18.5
N-400,FSA,10.5,19
N-400,FRE,7,10
N-400,GRR,10.5,19
N-400,HLG,10.5,19
N-400,HAR,10.5,21
N-400,HEL,10.5,19
N-400,HIA,7,11.5
N-400,HHW,10,19.5
N-400,HOU,13.5,16.5
N-400,IMP,7,12.5
N-400,INP,6.5,15.5
N-400,JAC,4.5,12
N-400,KAN,5.5,13
N-400,KND,5,13.5
N-400,LVG,15,17.5
N-400,LAW,9,13.5
N-400,LNY,6.5,12.5
N-400,LOS,9.5,17.5
N-400,LAC,11,13.5
N-400,LOU,5,15
N-400,MAN,10.5,19
N-400,MEM,8.5,21.5
N-400,MIA,13.5,25.5
N-400,MIL,8,13.5
N-400,SPM,14.5,23.5
N-400,MGA,9.5,24.5
N-400,MTL,5.5,18.5
N-400,NTN,13.5,15.5
N-400,NEW,8.5,12.5
N-400,NOL,12.5,17
N-400,NYC,13.5,25
N-400,NOR,9.5,23.5
N-400,OKL,13.5,29
N-400,OKC,5.5,13.5
N-400,OMA,6.5,11
N-400,ORL,9.5,29.5
N-400,PHI,9,17.5
N-400,PHO,14,20
N-400,PIT,10.5,19
N-400,POM,10.5,19
N-400,POO,6,9
N-400,PRO,5.5,11
N-400,QNS,11.5,24
N-400,RAL,5,16
N-400,REN,10.5,19
N-400,SAC,9.5,13.5
N-400,STA,10.5,19
N-400,STL,7,12
N-400,SLC,14,19
N-400,SNA,10.5,18
N-400,SBD,6,8.5
N-400,SND,7,12
N-400,SFV,14,16
N-400,SFR,14.5,16.5
N-400,SNJ,10.5,12.5
N-400,SAJ,10.5,19
N-400,SAA,12.5,17.5
N-400,SEA,15.5,18
N-400,SPO,10.5,19
N-400,TAM,4,16.5
N-400,TUC,5,17
N-400,WAS,9.5,18
N-400,WPB,7.5,24.5
N-400,WIC,8,11
N-400,YAK,3.5,8
